rows,cols,noise,error,expected mag
10,4,0.045,7.62214e-05,1102.79
10,4,0.0466667,9.74331e-05,549.837
10,4,0.0483333,9.0981e-05,605.52
10,4,0.05,0.000100888,1148.25
10,4,0,0,768.179
10,4,0.00166667,3.0021e-06,1178.11
10,4,0.00333333,5.38104e-06,1197.76
10,4,0.005,8.21373e-06,928.693
10,4,0.00666667,1.38608e-05,833.879
10,4,0.00833333,1.24039e-05,580.979
10,4,0.01,1.36354e-05,425.939
10,4,0.0116667,1.85987e-05,1070.3
10,4,0.0133333,2.94168e-05,940.375
10,4,0.015,2.92156e-05,772.026
10,4,0.0166667,3.51826e-05,734.965
10,4,0.0183333,2.7031e-05,1377.3
10,4,0.02,4.04586e-05,1326.96
10,4,0.0216667,3.7141e-05,1170.56
10,4,0.0233333,4.08235e-05,737.171
10,4,0.025,4.48547e-05,459.303
10,4,0.0266667,4.30879e-05,505.468
10,4,0.0283333,4.94286e-05,903.582
10,4,0.03,4.63984e-05,550.118
10,4,0.0316667,4.43467e-05,955.517
10,4,0.0333333,4.97229e-05,858.863
10,4,0.035,7.43232e-05,1324.98
10,4,0.0366667,6.968e-05,1242.11
10,4,0.0383333,7.53241e-05,1393.28
10,4,0.04,6.64094e-05,791.509
10,4,0.0416667,7.04113e-05,720.578
10,4,0.0433333,7.79532e-05,950.327
10,4,0.045,6.00039e-05,972.329
10,4,0.0466667,9.04613e-05,860.393
10,4,0.0483333,7.37324e-05,610.673
10,4,0.05,9.48273e-05,1344.53
10,4,0,0,1326.41
10,4,0.00166667,2.8961e-06,1005.29
10,4,0.00333333,6.31145e-06,660.398
10,4,0.005,1.33371e-05,1240.71
10,4,0.00666667,1.24239e-05,1221.38
10,4,0.00833333,1.53095e-05,864
10,4,0.01,2.48713e-05,1220.28
10,4,0.0116667,2.35674e-05,707.301
10,4,0.0133333,2.21854e-05,700.086
10,4,0.015,2.32855e-05,1278.32
10,4,0.0166667,3.03939e-05,1073.36
10,4,0.0183333,3.41493e-05,1279.77
10,4,0.02,3.89563e-05,858.471
10,4,0.0216667,2.81263e-05,838.489
10,4,0.0233333,4.24665e-05,907.074
10,4,0.025,3.97204e-05,978.165
10,4,0.0266667,4.38814e-05,842.068
10,4,0.0283333,5.09175e-05,1160.75
10,4,0.03,6.9194e-05,1276.78
10,4,0.0316667,7.06921e-05,1149.13
10,4,0.0333333,6.23959e-05,1354.17
10,4,0.035,6.89557e-05,659.97
10,4,0.0366667,5.6611e-05,820.805
10,4,0.0383333,7.58837e-05,1159.9
10,4,0.04,6.63361e-05,914.276
10,4,0.0416667,7.89999e-05,1106.87
10,4,0.0433333,8.83837e-05,1277.46
10,4,0.045,8.51743e-05,1214.45
10,4,0.0466667,8.22381e-05,1454.07
10,4,0.0483333,7.41575e-05,1330.66
10,4,0.05,8.1561e-05,993.927
10,4,0,0,1215.83
10,4,0.00166667,2.4601e-06,893.553
10,4,0.00333333,5.19744e-06,1072.7
10,4,0.005,8.39409e-06,1007.01
10,4,0.00666667,1.46172e-05,440.965
10,4,0.00833333,1.24449e-05,1163.09
10,4,0.01,2.22203e-05,1063.06
10,4,0.0116667,2.89109e-05,433.138
10,4,0.0133333,2.50414e-05,1313.16
10,4,0.015,3.66074e-05,1206.24
10,4,0.0166667,2.96656e-05,1273.11
10,4,0.0183333,4.29389e-05,1081.85
10,4,0.02,3.56355e-05,990.941
10,4,0.0216667,3.89287e-05,1118.28
10,4,0.0233333,4.10987e-05,471.267
10,4,0.025,5.41628e-05,939.649
10,4,0.0266667,4.02679e-05,949.842
10,4,0.0283333,4.54938e-05,1044.48
10,4,0.03,7.29588e-05,885.872
10,4,0.0316667,5.30399e-05,1243.27
10,4,0.0333333,4.33782e-05,948.089
10,4,0.035,5.80781e-05,1198.01
10,4,0.0366667,6.1987e-05,993.234
10,4,0.0383333,7.83453e-05,1206.59
10,4,0.04,7.2782e-05,1342.07
10,4,0.0416667,6.10921e-05,975.955
10,4,0.0433333,7.95903e-05,1341.47
10,4,0.045,6.30093e-05,1133.97
10,4,0.0466667,9.49765e-05,1266.55
10,4,0.0483333,8.46544e-05,747.121
10,4,0.05,9.33121e-05,1061.36
10,4,0,0,539.648
10,4,0.00166667,3.59586e-06,870.597
10,4,0.00333333,6.13468e-06,1181.56
10,4,0.005,9.21635e-06,810.62
10,4,0.00666667,9.27691e-06,798.473
10,4,0.00833333,1.34987e-05,844.283
10,4,0.01,1.70606e-05,542.886
10,4,0.0116667,2.56908e-05,637.861
10,4,0.0133333,2.03484e-05,1096.82
10,4,0.015,2.54085e-05,803.71
10,4,0.0166667,2.84372e-05,1182.86
10,4,0.0183333,3.57237e-05,1268.11
10,4,0.02,3.76811e-05,1208.25
10,4,0.0216667,3.30828e-05,880.291
10,4,0.0233333,4.0415e-05,949.048
10,4,0.025,4.93223e-05,456.574
10,4,0.0266667,5.48489e-05,675.912
10,4,0.0283333,4.594e-05,1028.04
10,4,0.03,8.01607e-05,895.223
10,4,0.0316667,5.12639e-05,947.134
10,4,0.0333333,6.97642e-05,1192.43
10,4,0.035,6.35468e-05,1006.36
10,4,0.0366667,6.79597e-05,345.36
10,4,0.0383333,5.86692e-05,636.235
10,4,0.04,8.32037e-05,1098.69
10,4,0.0416667,7.01209e-05,616.784
10,4,0.0433333,0.000100449,865.82
10,4,0.045,9.17609e-05,1275.01
10,4,0.0466667,0.000101397,917.001
10,4,0.0483333,8.05146e-05,1255.71
10,4,0.05,0.000116386,1113.67
10,4,0,0,681.852
10,4,0.00166667,2.37333e-06,727.959
10,4,0.00333333,6.35007e-06,654.938
10,4,0.005,8.90611e-06,1163.83
10,4,0.00666667,1.02492e-05,773.491
10,4,0.00833333,1.44296e-05,666.313
10,4,0.01,1.44437e-05,964.9
10,4,0.0116667,1.91852e-05,615.945
10,4,0.0133333,2.00366e-05,719.056
10,4,0.015,2.79408e-05,1409.92
10,4,0.0166667,3.55766e-05,1113.65
10,4,0.0183333,2.90971e-05,813.609
10,4,0.02,3.71674e-05,1139.31
10,4,0.0216667,3.97583e-05,1220.6
10,4,0.0233333,4.5598e-05,1179.73
10,4,0.025,3.62674e-05,558.705
10,4,0.0266667,4.91007e-05,626.284
10,4,0.0283333,5.64777e-05,976.715
10,4,0.03,4.92078e-05,953.963
10,4,0.0316667,7.45057e-05,268.074
10,4,0.0333333,9.48518e-05,1100.29
10,4,0.035,6.0242e-05,847.807
10,4,0.0366667,7.12237e-05,435.226
10,4,0.0383333,6.27079e-05,806.268
10,4,0.04,6.96117e-05,1240.51
10,4,0.0416667,6.32564e-05,1019.66
10,4,0.0433333,7.7942e-05,551.757
10,4,0.045,8.08641e-05,1136.3
10,4,0.0466667,8.8241e-05,1138.25
10,4,0.0483333,6.06599e-05,612.487
